,pipeline_id,length_km,diameter_mm,age_years,material,location,repair_type,repair_duration_hours,pressure,temperature,flow_rate,corrosion_level,deformation_level,leak_detection,pipeline_status
0,PL-17729,2.143583,1025.066385,3,Polyethylene,Rural,Corrective,51,9.557201,6.036429,801.096538,Critical,None,1,1
1,PL-79780,4.276824,263.882387,23,Polyethylene,Rural,Corrective,47,8.892398,33.945505,437.556765,Low,None,0,0
2,PL-71509,7.341204,620.502816,43,Steel,Rural,Preventive,66,4.801525,18.372948,252.160146,Low,None,0,1
3,PL-93201,6.60338,318.316655,3,Steel,Suburban,Preventive,44,7.079774,39.40899,435.07775,Low,Severe,1,0
4,PL-95790,9.66074,331.086063,11,Polyethylene,Suburban,Corrective,24,2.298925,6.491017,280.272512,Low,None,0,0
5,PL-96172,9.780056,860.848763,30,Polyethylene,Rural,Preventive,54,3.582412,21.227389,630.046779,Medium,Moderate,1,1
6,PL-20862,8.077628,1100.441892,31,Cast Iron,Suburban,Preventive,20,1.658973,49.955603,561.893634,Critical,Moderate,1,0
7,PL-13314,4.101698,504.364456,9,Steel,Suburban,Corrective,8,6.192698,9.753825,88.236081,Critical,None,0,1
8,PL-19325,8.064707,584.266577,21,Steel,Urban,Preventive,8,7.447571,37.530719,385.522017,Medium,Severe,1,0
9,PL-69150,4.469869,283.455923,48,Cast Iron,Urban,Preventive,51,2.987187,30.044401,228.914376,Critical,Moderate,1,1
10,PL-14351,2.294529,450.766026,13,Polyethylene,Suburban,Routine,19,8.174529,48.365427,734.739291,Low,Minor,1,1
11,PL-80869,2.452691,239.642208,38,Cast Iron,Rural,Corrective,66,5.207718,43.034237,710.172214,High,Severe,1,1
12,PL-98275,7.292712,300.760356,8,Steel,Urban,Preventive,45,1.715279,28.216195,924.122487,Low,Moderate,1,1
13,PL-40700,3.406219,416.338993,11,Cast Iron,Suburban,Corrective,59,1.322331,18.645759,859.659055,High,None,0,1
14,PL-54052,3.010281,1159.843745,19,PVC,Urban,Corrective,32,6.789914,5.323219,871.486917,Medium,None,0,1
15,PL-62508,1.009292,916.351941,28,Polyethylene,Suburban,Routine,6,5.925869,35.614477,905.344474,Critical,Minor,0,0
16,PL-33986,3.830399,363.335236,10,Steel,Rural,Corrective,63,6.52005,31.391841,494.060974,Critical,Severe,1,0
17,PL-29390,2.188301,1018.791463,7,Cast Iron,Rural,Preventive,61,4.964791,42.49494,298.80545,Critical,Severe,1,1
18,PL-50759,7.069722,846.953026,26,Cast Iron,Rural,Routine,50,9.943461,7.729427,462.86355,Low,None,0,1
19,PL-24694,2.549343,492.856171,27,Polyethylene,Rural,Preventive,22,4.930957,15.158532,119.846897,Medium,Severe,1,1
20,PL-74440,0.521403,267.213993,27,PVC,Urban,Corrective,17,4.839271,11.514276,644.409903,Low,Moderate,0,1
21,PL-18149,7.89068,914.775724,1,Cast Iron,Rural,Preventive,26,8.322,35.98497,441.749619,High,Minor,1,1
22,PL-64611,5.761503,538.315307,2,Steel,Rural,Preventive,32,1.060922,15.682037,601.010977,Critical,None,0,1
23,PL-42272,2.025248,186.526077,22,Cast Iron,Urban,Preventive,42,2.709182,36.464466,631.430572,Critical,Severe,0,0
24,PL-60360,7.524293,353.868291,12,PVC,Suburban,Corrective,10,9.133372,22.299816,923.970342,Medium,Minor,0,0
25,PL-93566,2.2931,277.56196,21,Cast Iron,Suburban,Corrective,16,3.712109,8.576473,705.062116,Low,None,1,0
26,PL-72669,8.791866,1125.235342,37,Cast Iron,Suburban,Routine,60,3.014749,13.553594,377.2853,Medium,Moderate,1,1
27,PL-93199,1.721904,1032.767573,39,Steel,Urban,Preventive,54,3.917686,8.41187,762.362207,Critical,Minor,1,0
28,PL-10834,1.370254,787.369735,17,Steel,Rural,Corrective,27,4.075582,36.239429,400.924802,Medium,Severe,0,1
29,PL-26869,2.729434,661.29216,40,Cast Iron,Urban,Routine,5,2.412257,20.182191,500.425663,Critical,Minor,1,1
30,PL-85838,2.267438,253.055836,47,Cast Iron,Rural,Corrective,10,1.341875,15.625341,803.252673,Critical,Minor,1,0
